,_id,question,school,selection
76,66fe4cbf2c95bc8004bc1798,0,🇸🇰Slovakia,collect data for maps
77,66fe4cc22c95bc8004bc1799,0,🇸🇰Slovakia,assist peacekeeping missions
78,66fe4cc22c95bc8004bc179a,0,🇮🇹Italy,assist peacekeeping missions
79,66fe4cc22c95bc8004bc179b,0,🇮🇹Italy,assist peacekeeping missions
80,66fe4cc22c95bc8004bc179c,0,🇮🇹Italy,collect data for maps
81,66fe4cc22c95bc8004bc179d,0,🇮🇹Italy,build new houses
82,66fe4cc72c95bc8004bc179e,0,🇮🇹Italy,assist peacekeeping missions
83,66fe4cc72c95bc8004bc179f,0,🇮🇹Italy,assist peacekeeping missions
84,66fe4cc72c95bc8004bc17a0,0,🇮🇹Italy,collect data for maps
85,66fe4cc72c95bc8004bc17a1,0,🇸🇰Slovakia,collect data for maps
86,66fe4cc82c95bc8004bc17a2,0,🇮🇹Italy,assist peacekeeping missions
87,66fe4cc82c95bc8004bc17a3,0,🇮🇹Italy,collect data for maps
88,66fe4cc82c95bc8004bc17a4,0,🇸🇰Slovakia,assist peacekeeping missions
89,66fe4cca2c95bc8004bc17a5,0,🇪🇸Spain,collect data for maps
90,66fe4ccb2c95bc8004bc17a6,0,🇸🇰Slovakia,assist peacekeeping missions
91,66fe4ccb2c95bc8004bc17a7,0,🇸🇰Slovakia,assist peacekeeping missions
92,66fe4ccb2c95bc8004bc17a8,0,🇸🇰Slovakia,collect data for maps
93,66fe4ccd2c95bc8004bc17a9,0,🇮🇹Italy,assist peacekeeping missions
94,66fe4ccd2c95bc8004bc17aa,0,🇮🇹Italy,collect data for maps
95,66fe4cce2c95bc8004bc17ab,0,🇪🇸Spain,assist peacekeeping missions
96,66fe4cce2c95bc8004bc17ac,0,🇪🇸Spain,collect data for maps
97,66fe4cd02c95bc8004bc17ad,0,🇮🇹Italy,assist peacekeeping missions
98,66fe4cd02c95bc8004bc17ae,0,🇮🇹Italy,assist peacekeeping missions
99,66fe4cd02c95bc8004bc17af,0,🇮🇹Italy,collect data for maps
100,66fe4cd22c95bc8004bc17b0,0,🇸🇰Slovakia,assist peacekeeping missions
101,66fe4cd22c95bc8004bc17b1,0,🇸🇰Slovakia,collect data for maps
102,66fe4cd22c95bc8004bc17b2,0,🇮🇹Italy,I don't know
103,66fe4cd22c95bc8004bc17b3,0,🇸🇰Slovakia,assist peacekeeping missions
104,66fe4cd32c95bc8004bc17b4,0,🇸🇰Slovakia,collect data for maps
105,66fe4cd42c95bc8004bc17b5,0,🇸🇰Slovakia,assist peacekeeping missions
106,66fe4cd42c95bc8004bc17b6,0,🇸🇰Slovakia,collect data for maps
107,66fe4cd52c95bc8004bc17b7,0,🇮🇹Italy,assist peacekeeping missions
108,66fe4cd52c95bc8004bc17b8,0,🇮🇹Italy,collect data for maps
109,66fe4cd52c95bc8004bc17b9,0,🇮🇹Italy,assist peacekeeping missions
110,66fe4cd52c95bc8004bc17ba,0,🇪🇸Spain,assist peacekeeping missions
111,66fe4cd52c95bc8004bc17bb,0,🇮🇹Italy,collect data for maps
112,66fe4cd82c95bc8004bc17bc,0,🇮🇹Italy,assist peacekeeping missions
113,66fe4cd82c95bc8004bc17bd,0,🇮🇹Italy,build new houses
114,66fe4cd92c95bc8004bc17be,0,🇸🇰Slovakia,assist peacekeeping missions
115,66fe4cda2c95bc8004bc17bf,0,🇸🇰Slovakia,collect data for maps
116,66fe4cdd2c95bc8004bc17c0,0,🇪🇸Spain,assist peacekeeping missions
117,66fe4cdd2c95bc8004bc17c1,0,🇮🇹Italy,assist peacekeeping missions
118,66fe4cdd2c95bc8004bc17c2,0,🇸🇰Slovakia,assist peacekeeping missions
119,66fe4cdd2c95bc8004bc17c3,0,🇪🇸Spain,collect data for maps
120,66fe4cdd2c95bc8004bc17c4,0,🇮🇹Italy,collect data for maps
121,66fe4cdd2c95bc8004bc17c5,0,🇸🇰Slovakia,collect data for maps
122,66fe4cdf2c95bc8004bc17c6,0,🇸🇰Slovakia,assist peacekeeping missions
123,66fe4cdf2c95bc8004bc17c7,0,🇸🇰Slovakia,collect data for maps
124,66fe4cdf2c95bc8004bc17c8,0,🇮🇹Italy,I don't know
125,66fe4ce02c95bc8004bc17c9,0,🇮🇹Italy,assist peacekeeping missions
126,66fe4ce02c95bc8004bc17ca,0,🇮🇹Italy,assist peacekeeping missions
127,66fe4ce02c95bc8004bc17cb,0,🇮🇹Italy,build new houses
128,66fe4ce12c95bc8004bc17cc,0,🇮🇹Italy,assist peacekeeping missions
129,66fe4ce12c95bc8004bc17cd,0,🇮🇹Italy,build new houses
130,66fe4ce52c95bc8004bc17ce,0,🇮🇹Italy,assist peacekeeping missions
131,66fe4ce52c95bc8004bc17cf,0,🇮🇹Italy,collect data for maps
132,66fe4ce82c95bc8004bc17d0,0,🇸🇰Slovakia,assist peacekeeping missions
133,66fe4ce82c95bc8004bc17d1,0,🇮🇹Italy,assist peacekeeping missions
134,66fe4ce82c95bc8004bc17d2,0,🇪🇸Spain,assist peacekeeping missions
135,66fe4ce82c95bc8004bc17d3,0,🇸🇰Slovakia,collect data for maps
136,66fe4ce92c95bc8004bc17d5,0,🇪🇸Spain,collect data for maps
137,66fe4ce92c95bc8004bc17d4,0,🇮🇹Italy,collect data for maps
138,66fe4ce92c95bc8004bc17d6,0,🇮🇹Italy,I don't know
139,66fe4ce92c95bc8004bc17d7,0,🇪🇸Spain,assist peacekeeping missions
140,66fe4cea2c95bc8004bc17d8,0,🇪🇸Spain,collect data for maps
141,66fe4cec2c95bc8004bc17d9,0,🇮🇹Italy,assist peacekeeping missions
142,66fe4ced2c95bc8004bc17da,0,🇮🇹Italy,collect data for maps
143,66fe4ced2c95bc8004bc17db,0,🇪🇸Spain,assist peacekeeping missions
144,66fe4cee2c95bc8004bc17dc,0,🇪🇸Spain,collect data for maps
